"Timestamp","State","LocalAddress","LocalPort","RemoteAddress","RemotePort","OwningProcess"
"2026-06-18T06:18:24.6819031+00:00","Bound","0.0.0.0","52060","0.0.0.0","0","2752"
"2026-06-18T06:18:24.6819031+00:00","Established","127.0.0.1","52060","127.0.0.1","52059","2752"
"2026-06-18T06:18:24.6819031+00:00","Established","127.0.0.1","52059","127.0.0.1","52060","2752"
"2026-06-18T06:18:25.4257642+00:00","Bound","0.0.0.0","52060","0.0.0.0","0","2752"
"2026-06-18T06:18:25.4257642+00:00","Established","127.0.0.1","52060","127.0.0.1","52059","2752"
"2026-06-18T06:18:25.4257642+00:00","Established","127.0.0.1","52059","127.0.0.1","52060","2752"
"2026-06-18T06:18:27.9941167+00:00","Bound","0.0.0.0","52060","0.0.0.0","0","2752"
"2026-06-18T06:18:27.9941167+00:00","Established","127.0.0.1","52060","127.0.0.1","52059","2752"
"2026-06-18T06:18:27.9941167+00:00","Established","127.0.0.1","52059","127.0.0.1","52060","2752"
"2026-06-18T06:18:29.1485545+00:00","Bound","0.0.0.0","52064","0.0.0.0","0","2752"
"2026-06-18T06:18:29.1643091+00:00","Bound","0.0.0.0","52063","0.0.0.0","0","2752"
"2026-06-18T06:18:29.1643091+00:00","Bound","0.0.0.0","52062","0.0.0.0","0","2752"
"2026-06-18T06:18:29.1643091+00:00","Bound","0.0.0.0","52061","0.0.0.0","0","2752"
"2026-06-18T06:18:29.1643091+00:00","Bound","0.0.0.0","52060","0.0.0.0","0","2752"
"2026-06-18T06:18:29.1643091+00:00","Established","127.0.0.1","52064","127.0.0.1","4449","2752"
"2026-06-18T06:18:29.1643091+00:00","Established","127.0.0.1","52063","127.0.0.1","4449","2752"
"2026-06-18T06:18:29.1643091+00:00","Established","127.0.0.1","52062","127.0.0.1","4449","2752"
"2026-06-18T06:18:29.1643091+00:00","Established","127.0.0.1","52061","127.0.0.1","4449","2752"
"2026-06-18T06:18:29.1643091+00:00","Established","127.0.0.1","52060","127.0.0.1","52059","2752"
"2026-06-18T06:18:29.1643091+00:00","Established","127.0.0.1","52059","127.0.0.1","52060","2752"
"2026-06-18T06:18:30.4962639+00:00","Bound","0.0.0.0","52064","0.0.0.0","0","2752"
"2026-06-18T06:18:30.4962639+00:00","Bound","0.0.0.0","52063","0.0.0.0","0","2752"
"2026-06-18T06:18:30.4962639+00:00","Bound","0.0.0.0","52062","0.0.0.0","0","2752"
"2026-06-18T06:18:30.4962639+00:00","Bound","0.0.0.0","52061","0.0.0.0","0","2752"
"2026-06-18T06:18:30.4962639+00:00","Bound","0.0.0.0","52060","0.0.0.0","0","2752"
"2026-06-18T06:18:30.4962639+00:00","Established","127.0.0.1","52064","127.0.0.1","4449","2752"
"2026-06-18T06:18:30.4962639+00:00","Established","127.0.0.1","52063","127.0.0.1","4449","2752"
"2026-06-18T06:18:30.4962639+00:00","Established","127.0.0.1","52062","127.0.0.1","4449","2752"
"2026-06-18T06:18:30.4962639+00:00","Established","127.0.0.1","52061","127.0.0.1","4449","2752"
"2026-06-18T06:18:30.4962639+00:00","Established","127.0.0.1","52060","127.0.0.1","52059","2752"
"2026-06-18T06:18:30.4962639+00:00","Established","127.0.0.1","52059","127.0.0.1","52060","2752"
"2026-06-18T06:18:31.3480570+00:00","Bound","0.0.0.0","52064","0.0.0.0","0","2752"
