"Timestamp","ProcessId","ParentProcessId","Name","ExecutablePath"
"2026-06-18T06:18:52.0447755+00:00","5000","3044","mullvadbrowser.exe","C:\Users\Administrator\Desktop\privacy-browser-live\mullvad-browser\mullvadbrowser.exe"
"2026-06-18T06:18:52.5295680+00:00","5000","3044","mullvadbrowser.exe","C:\Users\Administrator\Desktop\privacy-browser-live\mullvad-browser\mullvadbrowser.exe"
"2026-06-18T06:18:52.5295680+00:00","4452","5000","mullvadbrowser.exe","C:\Users\Administrator\Desktop\privacy-browser-live\mullvad-browser\mullvadbrowser.exe"
"2026-06-18T06:18:53.0456661+00:00","5000","3044","mullvadbrowser.exe","C:\Users\Administrator\Desktop\privacy-browser-live\mullvad-browser\mullvadbrowser.exe"
"2026-06-18T06:18:53.0456661+00:00","4452","5000","mullvadbrowser.exe","C:\Users\Administrator\Desktop\privacy-browser-live\mullvad-browser\mullvadbrowser.exe"
"2026-06-18T06:18:53.5460235+00:00","5000","3044","mullvadbrowser.exe","C:\Users\Administrator\Desktop\privacy-browser-live\mullvad-browser\mullvadbrowser.exe"
"2026-06-18T06:18:53.5460235+00:00","4452","5000","mullvadbrowser.exe","C:\Users\Administrator\Desktop\privacy-browser-live\mullvad-browser\mullvadbrowser.exe"
"2026-06-18T06:18:54.4243078+00:00","5000","3044","mullvadbrowser.exe","C:\Users\Administrator\Desktop\privacy-browser-live\mullvad-browser\mullvadbrowser.exe"
"2026-06-18T06:18:54.4243078+00:00","4452","5000","mullvadbrowser.exe","C:\Users\Administrator\Desktop\privacy-browser-live\mullvad-browser\mullvadbrowser.exe"
"2026-06-18T06:18:54.4243078+00:00","4148","4452","mullvadbrowser.exe","C:\Users\Administrator\Desktop\privacy-browser-live\mullvad-browser\mullvadbrowser.exe"
"2026-06-18T06:18:54.4243078+00:00","4168","4452","mullvadbrowser.exe","C:\Users\Administrator\Desktop\privacy-browser-live\mullvad-browser\mullvadbrowser.exe"
"2026-06-18T06:18:54.4243078+00:00","4796","4452","mullvadbrowser.exe","C:\Users\Administrator\Desktop\privacy-browser-live\mullvad-browser\mullvadbrowser.exe"
"2026-06-18T06:18:54.4400582+00:00","4336","4452","mullvadbrowser.exe","C:\Users\Administrator\Desktop\privacy-browser-live\mullvad-browser\mullvadbrowser.exe"
"2026-06-18T06:18:55.7298155+00:00","5000","3044","mullvadbrowser.exe","C:\Users\Administrator\Desktop\privacy-browser-live\mullvad-browser\mullvadbrowser.exe"
"2026-06-18T06:18:55.7298155+00:00","4452","5000","mullvadbrowser.exe","C:\Users\Administrator\Desktop\privacy-browser-live\mullvad-browser\mullvadbrowser.exe"
"2026-06-18T06:18:55.7455654+00:00","4148","4452","mullvadbrowser.exe","C:\Users\Administrator\Desktop\privacy-browser-live\mullvad-browser\mullvadbrowser.exe"
"2026-06-18T06:18:55.7455654+00:00","4168","4452","mullvadbrowser.exe","C:\Users\Administrator\Desktop\privacy-browser-live\mullvad-browser\mullvadbrowser.exe"
"2026-06-18T06:18:55.7768207+00:00","4796","4452","mullvadbrowser.exe","C:\Users\Administrator\Desktop\privacy-browser-live\mullvad-browser\mullvadbrowser.exe"
"2026-06-18T06:18:55.7768207+00:00","4336","4452","mullvadbrowser.exe","C:\Users\Administrator\Desktop\privacy-browser-live\mullvad-browser\mullvadbrowser.exe"
"2026-06-18T06:18:56.9868688+00:00","5000","3044","mullvadbrowser.exe","C:\Users\Administrator\Desktop\privacy-browser-live\mullvad-browser\mullvadbrowser.exe"
"2026-06-18T06:18:56.9868688+00:00","4452","5000","mullvadbrowser.exe","C:\Users\Administrator\Desktop\privacy-browser-live\mullvad-browser\mullvadbrowser.exe"
