"Timestamp","State","LocalAddress","LocalPort","RemoteAddress","RemotePort","OwningProcess"
"2026-06-18T05:48:57.9151159+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:48:57.9466445+00:00","Bound","0.0.0.0","50644","0.0.0.0","0","2620"
"2026-06-18T05:48:57.9466445+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:48:57.9466445+00:00","Established","172.31.45.235","50644","162.159.140.220","443","2620"
"2026-06-18T05:48:58.5259267+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:48:58.5259267+00:00","Bound","0.0.0.0","50644","0.0.0.0","0","2620"
"2026-06-18T05:48:58.5259267+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:48:58.5259267+00:00","Established","172.31.45.235","50644","162.159.140.220","443","2620"
"2026-06-18T05:48:59.1366751+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:48:59.1366751+00:00","Bound","0.0.0.0","50644","0.0.0.0","0","2620"
"2026-06-18T05:48:59.1366751+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:48:59.1366751+00:00","Established","172.31.45.235","50644","162.159.140.220","443","2620"
"2026-06-18T05:48:59.7312212+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:48:59.7312212+00:00","Bound","0.0.0.0","50644","0.0.0.0","0","2620"
"2026-06-18T05:48:59.7312212+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:48:59.7312212+00:00","Established","172.31.45.235","50644","162.159.140.220","443","2620"
"2026-06-18T05:49:00.3564326+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:00.3720653+00:00","Bound","0.0.0.0","50644","0.0.0.0","0","2620"
"2026-06-18T05:49:00.3720653+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:00.3720653+00:00","Established","172.31.45.235","50644","162.159.140.220","443","2620"
"2026-06-18T05:49:00.9658154+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:00.9658154+00:00","Bound","0.0.0.0","50644","0.0.0.0","0","2620"
"2026-06-18T05:49:00.9658154+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:00.9658154+00:00","Established","172.31.45.235","50644","162.159.140.220","443","2620"
"2026-06-18T05:49:02.2639326+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:02.2804048+00:00","Bound","0.0.0.0","50644","0.0.0.0","0","2620"
"2026-06-18T05:49:02.2804048+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:02.2804048+00:00","Established","172.31.45.235","50644","162.159.140.220","443","2620"
"2026-06-18T05:49:02.9036777+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:02.9192995+00:00","Bound","0.0.0.0","50644","0.0.0.0","0","2620"
"2026-06-18T05:49:02.9192995+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:02.9192995+00:00","Established","172.31.45.235","50644","162.159.140.220","443","2620"
"2026-06-18T05:49:03.5127852+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:03.5127852+00:00","Bound","0.0.0.0","50644","0.0.0.0","0","2620"
"2026-06-18T05:49:03.5284080+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:03.5284080+00:00","Established","172.31.45.235","50644","162.159.140.220","443","2620"
"2026-06-18T05:49:04.1221626+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:04.1221626+00:00","Bound","0.0.0.0","50644","0.0.0.0","0","2620"
"2026-06-18T05:49:04.1221626+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:04.1221626+00:00","Established","172.31.45.235","50644","162.159.140.220","443","2620"
"2026-06-18T05:49:04.6853649+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:04.6853649+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:05.2482653+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:05.2482653+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:05.8255168+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:05.8255168+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:06.3883174+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:06.3883174+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:06.9511710+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:06.9511710+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:07.5139668+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:07.5139668+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:08.0921179+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:08.0921179+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:08.6400622+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:08.6400622+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:09.2341943+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:09.2341943+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:09.7968236+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:09.7968236+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:10.3598813+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:10.3598813+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:10.9228677+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:10.9228677+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:11.4698297+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:11.4698297+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:12.0486748+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:12.0486748+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:12.5961905+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:12.5961905+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:13.1742924+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:13.1742924+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:13.7214782+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:13.7214782+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:14.3150590+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:14.3150590+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:14.8787959+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:14.8787959+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
"2026-06-18T05:49:15.4258209+00:00","Bound","0.0.0.0","50645","0.0.0.0","0","3376"
"2026-06-18T05:49:15.4258209+00:00","Established","172.31.45.235","50645","162.159.140.220","443","3376"
